Household Id,Household size,No. of children,Own home?,Size of home (sq. ft),Employement status,Annual household income (USD),Vehicles owned,UIN,Full name,Date of birth,Account number,Phone number,Email id,Address,Disability status,Immigration status,Token ID,Gender
7598380846,3,2,yes,163,employed_parttime,5001_10000,two_wheeler,8217353245,Gloria Macapagal-Arroyo,05-09-1933,5494373447,+745 9579222149,gloria@myland.com,USNV Flores FPO AE 16042,not_disabled,non_immigrant,995987155168840566468483468923344104,Female
3020275638,2,1,no,1037,unemployed,0_5000,two_wheeler,5474889656,Benigno S. Aquino III,15-03-1972,1114169773,+745 3595450451,benigno@myland.com,"77326 Nelson Falls East Diane, ID 48959",not_disabled,non_immigrant,779190891884955516709754754596875292,Male
1705601662,9,7,yes,1378,employed_parttime,5001_10000,four_wheeler,7668738455,Rodrigo Duterte,16-11-1961,1769418979,+745 6102024084,rodrigo@myland.com,"35355 Cook Oval South Derekberg, IL 12634",not_disabled,immigrant,611815306328407781446863151633186572,Male
3618749906,9,1,yes,1271,employed_parttime,0_5000,bicycle,2962626772,Manny Pacquiao,28-02-1932,1591322882,+745 1894726163,manny@myland.com,"283 Daniel Overpass Apt. 485 Deborahton, OH 98094",not_disabled,non_immigrant,421310930272686454834871656945745625,Female
5798554852,7,5,no,1768,self_employed,0_5000,bicycle,2157776187,Leni Robredo,16-09-1999,6165612947,+745 1742847873,leni@myland.com,"9608 Garrett Track Apt. 720 Salastown, FM 89774",not_disabled,non_immigrant,309016041451341757751647158722330717,Female
8634298625,5,4,no,1307,employed_parttime,5001_10000,two_wheeler,3597588585,Imelda Marcos,22-08-1978,5481734664,+745 3585002498,imelda@myland.com,"059 Christopher Avenue Sheltontown, MI 64759",not_disabled,non_immigrant,350828547392035175989456967890242641,Male
2270034193,9,4,yes,120,self_employed,0_5000,two_wheeler,3716118242,Jose Rizal,02-02-1978,3112849125,+745 2745907516,jose@myland.com,"9268 King Trace Apt. 908 North Williamchester, MO 08940",not_disabled,non_immigrant,541553125099125326115819298726889453,Female
4223707526,8,3,no,1434,employed_parttime,0_5000,two_wheeler,5142167419,Carlos P. Garcia,26-03-1944,5285974562,+745 7042576521,carlos@myland.com,"6917 Pennington Rapids Apt. 696 West Colin, ND 86534",not_disabled,non_immigrant,472694016467212779026125486281863010,Female
3251635828,2,0,yes,708,others,0_5000,bicycle,3366823863,Maria Corazon Aquino,14-04-1997,8469375273,+745 3572938073,maria@myland.com,"1067 Sellers Grove Suite 434 Bruceview, OR 57731",not_disabled,non_immigrant,502262024909511966534914861515532460,Female
8568936810,4,1,yes,113,employed_fulltime,5001_10000,four_wheeler,3577591379,Ferdinand Marcos,21-01-1987,3394958675,+745 4256693332,ferdinand@myland.com,"265 Clark Courts Apt. 568 South Amber, RI 55515",not_disabled,non_immigrant,217543972513678589126758396785961058,Male
